Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date,Date_Generated
Aegis,Avenger Stalker,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Sabre Raven,False,False,16569251,Package - AEGIS Sabre Raven ,0.0,2018-12-31,2020-05-31
Aegis,Avenger Stalker,True,False,9862620,LTI Packages - Digital Scout - LTI,65.0,2016-10-10,2020-05-31
Aegis,Hammerhead,True,False,13011622,Standalone Ship - Aegis Hammerhead lti,650.0,2017-11-25,2020-05-31
Aegis,Reclaimer,True,False,2603001,Standalone Ship - Aegis Reclaimer - LTI,350.0,2014-09-26,2020-05-31
Aegis,Redeemer,True,False,21244844,Standalone Ship - Aegis Redeemer - LTI,250.0,2020-02-17,2020-05-31
Aegis,Sabre Raven,False,False,13522599,Package - AEGIS Sabre Raven ,0.0,2018-01-20,2020-05-31
Aegis,Vanguard Warden,True,False,4156029,Standalone Ship - Aegis Vanguard - LTI,250.0,2015-03-27,2020-05-31
Aegis,Vulcan,False,False,22248434,Standalone Ship - Aegis Vulcan - ILW2950,200.0,2020-05-30,2020-05-31
Aegis,Vanguard Warden,True,False,20781333,Package - UEE Exploration 2948 Pack,1130.0,2019-12-18,2020-05-31
Aegis,Vanguard Sentinel,True,False,20781333,Package - UEE Exploration 2948 Pack,1130.0,2019-12-18,2020-05-31
Aegis,Vanguard Sentinel,True,False,20781333,Package - UEE Exploration 2948 Pack,1130.0,2019-12-18,2020-05-31
Aegis,Gladius Valiant,True,False,13243002,Standalone Ship - Origin 325a Fighter - LTI,110.0,2017-12-03,2020-05-31
Aegis,Sabre,True,False,21076136,Package - UEE Exploration 2948 Pack,800.0,2020-01-24,2020-05-31
Aegis,Sabre,False,False,22050084,Standalone Ship - Anvil Arrow - ILW2950,170.0,2020-05-25,2020-05-31
Aegis,Avenger Titan Renegade,False,False,22144110,Standalone Ship - Aegis Avenger Titan Renegade - ILW2950,75.0,2020-05-28,2020-05-31
Aegis,Vulcan,True,True,13596615,Standalone Ship - AEGIS Vulcan LTI Warbond VIP EARLY BIRD,185.0,2018-02-15,2020-05-31
Aegis,Vanguard Warden,True,False,4157345,Standalone Ship - Aegis Vanguard - LTI,250.0,2015-03-27,2020-05-31
Aegis,Reclaimer 2949 Best in Show,True,False,2604577,Standalone Ship - Aegis Reclaimer - LTI,350.0,2014-09-26,2020-05-31
Aegis,Pirate Gladius,True,True,18907078,Standalone Ship - Pirate Gladius - Warbond,90.0,2019-10-18,2020-05-31
Aegis,Nautilus Solstice Edition,True,True,18584642,Standalone Ship - Aegis Nautilus Solstice Limited Edition - Warbond ,675.0,2019-08-25,2020-05-31
Aegis,Idris-P Frigate,True,True,19325041,Standalone Ship - Aegis Idris-P - Warbond - IAE 2949,1300.0,2019-11-29,2020-05-31
Aegis,Avenger Titan Renegade,True,True,18802878,Add-Ons - Posse Pack - Warbond,380.0,2019-10-11,2020-05-31
Aegis,Vanguard Sentinel,False,False,1366312,Arbiter,285.0,2013-10-19,2020-05-31
Aegis,Eclipse,False,False,19692437,Standalone Ship - Aegis Eclipse - IAE 2949,300.0,2019-12-07,2020-05-31
Aegis,Reclaimer,True,False,20944132,Package - Company Pack,1700.0,2020-01-06,2020-05-31
Aegis,Sabre Comet,True,False,9866751,Standalone Ship - MISC Freelancer - LTI,179.0,2016-10-10,2020-05-31
Aegis,Eclipse,True,True,13535526,Standalone Ship - Aegis Eclipse LTI - Warbond Edition,250.0,2018-01-27,2020-05-31
Aegis,Idris-P Frigate,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Sabre,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Sabre Raven,False,False,13413219,Package - AEGIS Sabre Raven ,0.0,2017-12-29,2020-05-31
Aegis,Sabre Raven,False,False,12931075,Package - AEGIS Sabre Raven ,0.0,2017-11-09,2020-05-31
Aegis,Vanguard Harbinger,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Vanguard Hoplite,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Avenger Titan,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Avenger Titan,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Sabre,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Avenger Titan Renegade,True,False,10317915,Standalone Ship - Avenger Titan Renegade - LTI,75.0,2016-11-25,2020-05-31
Aegis,Eclipse,True,True,13808934,Standalone Ship - Aegis Eclipse LTI - Warbond Edition,250.0,2018-04-13,2020-05-31
Aegis,Gladius Valiant,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Hammerhead,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Hammerhead 2949 Best in Show,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Idris-M Frigate,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Vanguard Warden,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Vulcan,True,True,13599064,Standalone Ship - AEGIS Vulcan LTI Warbond VIP EARLY BIRD,185.0,2018-02-16,2020-05-31
Aegis,Avenger Warlock,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Retaliator Bomber,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Sabre Comet,True,False,10123811,Standalone Ship - Sabre Comet - LTI,185.0,2016-11-21,2020-05-31
Aegis,Idris-P Frigate,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Javelin,True,False,4155358,Standalone Ship - Aegis Javelin - LTI,2400.0,2015-03-27,2020-05-31
Aegis,Nautilus ,True,False,3389393,Combo - War Pack - Digital,6865.0,2014-12-22,2020-05-31
Aegis,Reclaimer,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Reclaimer 2949 Best in Show,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
Aegis,Redeemer,True,False,3388812,Combo - The Completionist - Digital,17161.0,2014-12-22,2020-05-31
