Manufacturer, Ship, Lti, Warbond, ID, Pledge, Cost, Date
"Aegis","Eclipse",true,true,12169671,"Standalone Ship - Aegis Eclipse LTI - Warbond Edition","$250.00 USD","May 18, 2017"
"Aegis","Hammerhead 2949 Best in Show",true,true,13015759,"Standalone Ship - Aegis Hammerhead lti Warbond","$500.00 USD","November 25, 2017"
"Aegis","Retaliator Bomber",true,false,16316898,"Standalone Ship - Aegis Dynamics Retaliator Heavy Bomber - LTI","$250.00 USD","December 05, 2018"
"Aegis","Vanguard Harbinger",true,false,4167834,"Standalone Ship - Aegis Vanguard - LTI","$280.00 USD","March 29, 2015"
"Aegis","Vulcan",true,false,1386481,"Digital Freelancer - LTI","$200.00 USD","October 23, 2013"
"Anvil","Arrow",false,false,19136165,"Standalone Ship - Anvil Arrow - IAE 2949","$75.00 USD","November 24, 2019"
"Anvil","Carrack Expedition with Pisces Expedition",true,false,2845031,"Standalone Ship - Anvil Carrack - LTI","$395.00 USD","November 28, 2014"
"Anvil","Crucible",true,false,4060988,"Standalone Ship - RSI Orion - LTI","$301.25 USD","February 23, 2015"
"Anvil","Terrapin",true,false,9519605,"Standalone Ship - Anvil Terrapin - LTI","$195.00 USD","August 19, 2016"
"Anvil","Valkyrie ",true,false,17704325,"Standalone Ship - Origin 350r Racer - LTI","$470.00 USD","February 28, 2019"
"Banu","Merchantman",false,false,16568726,"Standalone Ship - Banu Merchantman - Anniversary","$250.00 USD","December 31, 2018"
"Crusader","Crusader Ares Inferno",true,false,5097186,"Standalone Ship - Aegis Sabre - LTI","$220.00 USD","October 10, 2015"
"Crusader","Crusader Mercury Star Runner",false,false,19208997,"Standalone Ship - Crusader Mercury Star Runner - IAE 2949","$225.00 USD","November 27, 2019"
"Crusader","Hercules Starlifter A2",false,true,22212734,"Standalone Ship - Crusader A2 Hercules - Warbond - ILW2950","$600.00 USD","May 29, 2020"
"MISC","Prospector",true,true,12990713,"Standalone Ship - Anvil Hawk lti Warbond","$135.00 USD","November 24, 2017"
"RSI","Polaris",true,false,9845085,"Standalone Ship - RSI Polaris - LTI","$654.45 USD","October 09, 2016"
"Tumbril","Cyclone-TR",true,false,12489582,"Standalone Ship - Tumbril Cyclone LTI Presale","$50.00 USD","July 20, 2017"
"Tumbril","Nova Tank",true,true,18160986,"Add-Ons - Sons of Centauri Pack Warbond   ","$180.00 USD","May 09, 2019"
"Tumbril","Ranger CV",true,true,18272793,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","June 10, 2019"
"Tumbril","Ranger CV",true,true,18160986,"Add-Ons - Sons of Centauri Pack Warbond   ","$180.00 USD","May 09, 2019"
"Tumbril","Ranger RC",true,true,18272793,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","June 10, 2019"
"Tumbril","Ranger TR",true,true,18272793,"Add-Ons - Sons of Centauri Pack Warbond   ","$85.00 USD","June 10, 2019"
